id,key,value,type
10090715,county,"Davis, UT",tiger
10090715,name_base,300,tiger
10090715,name_direction_prefix,N,tiger
10090715,name_direction_suffix,E,tiger
10090797,name,Peachtree Drive,regular
10090797,name_1,325 East,regular
10090797,highway,residential,regular
10090797,cfcc,A41,tiger
10090797,county,"Davis, UT",tiger
10090797,reviewed,no,tiger
10090797,name_base,Peachtree,tiger
10090797,name_type,Dr,tiger
10090797,name_base_1,325,tiger
10090797,name_direction_suffix_1,E,tiger
10090860,name,North Wagon Wheel Circle West,regular
10090860,highway,residential,regular
10090860,cfcc,A41,tiger
10090860,county,"Davis, UT",tiger
10090860,reviewed,no,tiger
10090860,name_base,Wagon Wheel,tiger
10090860,name_type,Cir,tiger
10090860,name_direction_prefix,N,tiger
10090860,name_direction_suffix,W,tiger
10090952,name,South 850 West,regular
10090952,highway,residential,regular
10090952,cfcc,A41,tiger
10090952,county,"Davis, UT",tiger
10090952,reviewed,no,tiger
10090952,name_base,850,tiger
10090952,name_direction_prefix,S,tiger
10090952,name_direction_suffix,W,tiger
10091033,name,North 400 West,regular
10091033,highway,residential,regular
10091033,cfcc,A41,tiger
10091033,county,"Davis, UT",tiger
10091033,reviewed,no,tiger
10091033,name_base,400,tiger
10091033,name_direction_prefix,N,tiger
10091033,name_direction_suffix,W,tiger
10091125,name,West 1130 North,regular
10091125,highway,residential,regular
10091125,cfcc,A41,tiger
10091125,county,"Davis, UT",tiger
10091125,reviewed,no,tiger
10091125,name_base,1130,tiger
10091125,name_direction_suffix,N,tiger
10091267,name,Kensington Street,regular
10091267,name_1,North 750 West,regular
10091267,highway,residential,regular
10091267,cfcc,A41,tiger
10091267,county,"Davis, UT",tiger
10091267,reviewed,no,tiger
10091267,name_base,Kensington,tiger
10091267,name_type,St,tiger
10091267,name_base_1,750,tiger
10091267,name_direction_prefix_1,N,tiger
10091267,name_direction_suffix_1,W,tiger
10091374,name,Coronation Circle,regular
10091374,name_1,West 3625 South,regular
10091374,highway,residential,regular
10091374,cfcc,A41,tiger
10091374,county,"Davis, UT",tiger
10091374,reviewed,no,tiger
10091374,name_base,Coronation,tiger
10091374,name_type,Cir,tiger
10091374,name_base_1,3625,tiger
10091374,name_direction_prefix_1,W,tiger
10091374,name_direction_suffix_1,S,tiger
10091492,name,North 900 West,regular
10091492,highway,residential,regular
10091492,cfcc,A41,tiger
10091492,county,"Davis, UT",tiger
10091492,reviewed,no,tiger
10091492,name_base,900,tiger
10091492,name_direction_prefix,N,tiger
10091492,name_direction_suffix,W,tiger
10091569,name,South Lexington Drive,regular
10091569,highway,residential,regular
10091569,cfcc,A41,tiger
10091569,county,"Davis, UT",tiger
10091569,reviewed,no,tiger
10091569,name_base,Lexington,tiger
10091569,name_type,Dr,tiger
10091569,name_direction_prefix,S,tiger
10091693,name,South 250 East,regular
10091693,highway,residential,regular
10091693,cfcc,A41,tiger
10091693,county,"Davis, UT",tiger
10091693,reviewed,no,tiger
10091693,name_base,250,tiger
10091693,name_direction_prefix,S,tiger
10091693,name_direction_suffix,E,tiger
10091771,name,South Park Drive East,regular
10091771,name_1,South 100 East,regular
10091771,highway,residential,regular
10091771,cfcc,A41,tiger
10091771,county,"Davis, UT",tiger
10091771,reviewed,no,tiger
10091771,name_base,Park,tiger
10091771,name_type,Dr,tiger
10091771,name_base_1,100,tiger
10091771,name_direction_prefix,S,tiger
10091771,name_direction_suffix,E,tiger
10091771,name_direction_prefix_1,S,tiger
10091771,name_direction_suffix_1,E,tiger
10091848,name,South 350 East,regular
10091848,highway,residential,regular
10091848,cfcc,A41,tiger
10091848,county,"Davis, UT",tiger
10091848,reviewed,no,tiger
10091848,name_base,350,tiger
10091848,name_direction_prefix,S,tiger
10091848,name_direction_suffix,E,tiger
10091937,name,Sorrento Drive,regular
10091937,name_1,South 700 West,regular
10091937,highway,residential,regular
10091937,cfcc,A41,tiger
10091937,county,"Davis, UT",tiger
10091937,reviewed,no,tiger
10091937,name_base,Sorrento,tiger
10091937,name_type,Dr,tiger
10091937,name_base_1,700,tiger
10091937,name_direction_prefix_1,S,tiger
10091937,name_direction_suffix_1,W,tiger
10092015,highway,service,regular
10092092,name,Ridgewood Lane,regular
10092092,highway,residential,regular
10092092,cfcc,A41,tiger
10092092,county,"Davis, UT",tiger
10092092,reviewed,no,tiger
10092092,name_base,Ridgewood,tiger
10092092,name_type,Ln,tiger
10092162,name,Frontage Road,regular
10092162,name_1,North 800 West,regular
10092162,highway,secondary,regular
10092162,maxspeed,50 mph,regular
10092162,cfcc,A41,tiger
10092162,county,"Davis, UT",tiger
10092162,reviewed,no,tiger
10092162,name_base,Frontage,tiger
